row_id,player_id,player_name,club,season,matched,match_type,name_score,club_score,fbref_player_name,fbref_club
7804,420064,Caio Henrique,AS Monaco,2022,False,none,0,0,,
7805,420064,Caio Henrique,AS Monaco,2023,False,none,0,0,,
7806,420064,Caio Henrique,AS Monaco,2024,False,none,0,0,,
7853,424015,Nathan Patterson,Everton FC,2021,False,none,0,0,,
7876,424881,Omar Richards,Nottingham Forest,2022,False,none,0,0,,
7877,425306,Matt Turner,Arsenal FC,2022,False,none,0,0,,
7930,432090,Nicolò Fagioli,Juventus FC,2021,False,none,0,0,,
7956,433181,Tino Anjorin,FC Empoli,2024,False,none,0,0,,
7994,435485,Luiz Araújo,LOSC Lille,2021,False,none,0,0,,
8014,441986,Yann Bisseck,Inter Milan,2023,False,none,0,0,,
8015,441986,Yann Bisseck,Inter Milan,2024,False,none,0,0,,
8090,451276,Dominik Szoboszlai,RB Leipzig,2020,False,none,0,0,,
8207,463620,Willem Geubbels,AS Monaco,2019,False,none,0,0,,
8237,466805,Nico González,FC Barcelona,2021,False,none,0,0,,
8238,466805,Nico González,Valencia CF,2022,False,none,0,0,,
8239,466805,Nico González,Manchester City,2024,False,none,0,0,,
8332,475411,Wesley Fofana,Chelsea FC,2023,False,none,0,0,,
8334,475412,Jean Marcelin,AS Monaco,2019,False,none,0,0,,
8344,476344,Emerson Royal,Real Betis Balompié,2020,False,none,0,0,,
8387,480763,Juan Foyth,Tottenham Hotspur,2017,False,none,0,0,,
8399,480987,Chris Mepham,AFC Bournemouth,2024,False,none,0,0,,
8401,481173,Mady Camara,AS Roma,2022,False,none,0,0,,
8411,483573,Martín Aguirregabiria,Deportivo Alavés,2018,False,none,0,0,,
8412,484387,Matty Longstaff,Newcastle United,2020,False,none,0,0,,
8443,486031,Nico González,VfB Stuttgart,2018,False,none,0,0,,
8444,486031,Nico González,VfB Stuttgart,2020,False,none,0,0,,
8445,486031,Nico González,ACF Fiorentina,2021,False,none,0,0,,
8446,486031,Nico González,ACF Fiorentina,2022,False,none,0,0,,
8447,486031,Nico González,ACF Fiorentina,2023,False,none,0,0,,
8448,486031,Nico González,Juventus FC,2024,False,none,0,0,,
8455,486604,Vitezslav Jaros,Liverpool FC,2023,False,none,0,0,,
8580,503638,Mohamed Ihattaren,UC Sampdoria,2021,False,none,0,0,,
8609,503977,Taylor Harwood-Bellis,Manchester City,2023,False,none,0,0,,
8636,504215,Giovanni Reyna,Borussia Dortmund,2019,False,none,0,0,,
8637,504215,Giovanni Reyna,Borussia Dortmund,2020,False,none,0,0,,
8638,504215,Giovanni Reyna,Borussia Dortmund,2021,False,none,0,0,,
8639,504215,Giovanni Reyna,Borussia Dortmund,2022,False,none,0,0,,
8640,504215,Giovanni Reyna,Borussia Dortmund,2023,False,none,0,0,,
8641,504215,Giovanni Reyna,Borussia Dortmund,2024,False,none,0,0,,
8650,505219,James Garner,Manchester United,2021,False,none,0,0,,
8660,506189,Flynn Downes,West Ham United,2023,False,none,0,0,,
8671,507700,Brandon Williams,Manchester United,2022,False,none,0,0,,
8720,522784,Taty Castellanos,Girona FC,2022,False,none,0,0,,
8721,522784,Taty Castellanos,SS Lazio,2023,False,none,0,0,,
8722,522784,Taty Castellanos,SS Lazio,2024,False,none,0,0,,
8737,525247,Maximilian Kilman,Wolverhampton Wanderers,2021,False,none,0,0,,
8738,525247,Maximilian Kilman,Wolverhampton Wanderers,2022,False,none,0,0,,
8739,525247,Maximilian Kilman,Wolverhampton Wanderers,2023,False,none,0,0,,
8740,525247,Maximilian Kilman,West Ham United,2024,False,none,0,0,,
8765,532541,Luke Cundle,Wolverhampton Wanderers,2023,False,none,0,0,,
8794,534033,Alexis Mac Allister,Brighton & Hove Albion,2018,False,none,0,0,,
8822,536835,Amad Diallo,Manchester United,2021,False,none,0,0,,
8823,536835,Amad Diallo,Manchester United,2022,False,none,0,0,,
8874,541231,Sepp van den Berg,Liverpool FC,2021,False,none,0,0,,
8939,551505,Mousa Tamari,Montpellier HSC,2023,False,none,0,0,,
8940,551505,Mousa Tamari,Montpellier HSC,2024,False,none,0,0,,
8981,557149,Kang-in Lee,Paris Saint-Germain,2023,False,none,0,0,,
8982,557149,Kang-in Lee,Paris Saint-Germain,2024,False,none,0,0,,
9000,559794,Jack Clarke,Tottenham Hotspur,2020,False,none,0,0,,
9010,560694,Lewis O'Brien,Nottingham Forest,2023,False,none,0,0,,
9018,563812,Christian Oliva,Cagliari Calcio,2018,False,none,0,0,,
9026,564529,Victor Kristiansen,Bologna FC 1909,2023,False,none,0,0,,
9043,565822,Harvey Elliott,Liverpool FC,2020,False,none,0,0,,
9115,570421,Nico Melamed,RCD Espanyol Barcelona,2021,False,none,0,0,,
9116,570421,Nico Melamed,RCD Espanyol Barcelona,2022,False,none,0,0,,
9147,575998,Leonardo Balerdi,Borussia Dortmund,2018,False,none,0,0,,
9158,576314,Jan Paul van Hecke,Brighton & Hove Albion,2021,False,none,0,0,,
9225,585550,Gavin Bazunu,Southampton FC,2024,False,none,0,0,,
9257,591949,Aaron Hickey,Brentford FC,2024,False,none,0,0,,
9262,594991,Mohamed Bayo,Clermont Foot 63,2021,False,none,0,0,,
9263,594991,Mohamed Bayo,LOSC Lille,2022,False,none,0,0,,
9264,594991,Mohamed Bayo,Le Havre AC,2023,False,none,0,0,,
9276,597659,Charlie Cresswell,Leeds United,2022,False,none,0,0,,
9284,599663,Faris Moumbagna,Olympique Marseille,2023,False,none,0,0,,
9285,599663,Faris Moumbagna,Olympique Marseille,2024,False,none,0,0,,
9302,606718,Toti,Wolverhampton Wanderers,2022,False,none,0,0,,
9303,606718,Toti,Wolverhampton Wanderers,2023,False,none,0,0,,
9304,606718,Toti,Wolverhampton Wanderers,2024,False,none,0,0,,
